room,room_part,x,y
LC410,1,4.2,-1.3
LC410,2,4.2,-6.2
LC410,3,1.3,-6.2
LC410,4,1.3,-1.3
LC410,5,5.0,1.05
LC412,1,6.8,-1.3
LC412,2,9.799999999999999,-1.3
LC412,3,9.799999999999999,-6.2
LC412,4,6.8,-6.2
LC412,5,6.0,1.05
LC414,1,15.399999999999999,-1.3
LC414,2,15.399999999999999,-6.2
LC414,3,12.4,-6.2
LC414,4,12.4,-1.3
LC414,5,16.2,1.05
LC416,1,18.0,-1.3
LC416,2,20.999999999999996,-1.3
LC416,3,20.999999999999996,-6.2
LC416,4,18.0,-6.2
LC416,5,17.2,1.05
LC418,1,26.2,-1.3
LC418,2,26.2,-6.2
LC418,3,23.6,-6.2
LC418,4,23.6,-1.3
LC418,5,27.0,1.05
LC413,1,9.0,3.3999999999999995
LC413,2,9.0,7.3
LC413,3,13.1,7.3
LC413,4,13.1,3.3999999999999995
LC413,5,8.2,1.05
LC415,1,19.8,3.3999999999999995
LC415,2,15.700000000000001,3.3999999999999995
LC415,3,15.700000000000001,7.3
LC415,4,19.8,7.3
LC415,5,20.6,1.05
LC417,1,26.3,3.3999999999999995
LC417,2,22.400000000000002,3.3999999999999995
LC417,3,22.400000000000002,7.3
LC417,4,26.3,7.3
LC417,5,27.1,1.05
LC419,1,28.900000000000002,3.3999999999999995
LC419,2,28.900000000000002,7.3
LC419,3,33.1,7.3
LC419,4,33.1,3.3999999999999995
LC419,5,28.1,1.05
